rank,word,occurrences (ppm),lemma forms,English Word Translation,Lemma Translation
1,que,32894,que,that,that
2,de,32116,de,of,of
3,no,29897,no,No,No
4,a,22313,a,to,to
5,la,21127,la,the,the
6,el,18112,el,he,he
7,es,16620,ser,is,be
8,y,15743,y,and,and
9,en,15303,en,in,in
10,lo,14010,lo,it,it
11,un,13410,un,a,a
12,por,10261,por,by,by
13,qué,9903,qué,that,that
14,me,9692,me,me,me
15,una,8656,un,a,a
16,te,8094,te,tea,tea
17,los,7589,lo,the,it
18,se,7426,se,HE,HE
19,con,6799,con,with,with
20,para,6455,para,for,for
21,mi,5987,mi,my,my
22,está,5909,estar,this,be
23,si,5880,si,Yeah,Yeah
24,bien,5293,bien,good,good
25,pero,5012,pero,but,but
26,yo,4800,yo,I,I
27,eso,4788,eso,that,that
28,las,4748,la,the,the
29,sí,4704,sí,Yeah,Yeah
30,su,4549,su,his,his
31,tu,4194,tu,you,you
32,aquí,3952,aquí,here,here
33,del,3911,del,of the,of the
34,al,3887,al,to the,to the
35,como,3760,como,as,as
36,le,3470,le,you,you
37,más,3395,más,further,further
38,esto,3152,esto,this,this
39,ya,2944,ya,already,already
40,todo,2929,todo,all,all
41,esta,2927,esta,this,this
42,vamos,2830,ir,come on,go
43,muy,2618,muy,very,very
44,hay,2584,haber,there is,have
45,ahora,2523,ahora,now,now
46,algo,2469,algo,something,something
47,estoy,2454,estar,I'm,be
48,tengo,2349,tener,I have,have
49,nos,2247,nos,us,us
50,tú,2232,tú,you,you
51,nada,2122,nada,nothing,nothing
52,cuando,2098,cuando,when,when
53,ha,2079,haber,ha,have
54,este,2069,este,this,this
55,sé,2066,saber,HE,know
56,estás,2045,estar,are,be
57,así,2044,así,So,So
58,puedo,1972,poder,I can,can
59,cómo,1969,cómo,as,as
60,quiero,1940,querer,wanna,want
61,sólo,1933,sólo,only,only
62,soy,1913,ser,am,be
63,tiene,1908,tener,has,have
64,gracias,1886,gracias,thank you,thank you
65,o,1850,o,either,either
66,él,1836,él,he,he
67,bueno,1824,bueno,Well,Well
68,fue,1811,ser ir,was,to be go
69,ser,1782,ser,be,be
70,hacer,1749,hacer,do,do
71,son,1703,ser,are,be
72,todos,1687,todo,all,all
73,era,1677,ser,was,be
74,eres,1677,ser,are,be
75,vez,1652,vez,time,time
76,tienes,1636,tener,have,have
77,creo,1584,creer,believe,believe
78,ella,1570,ella,she,she
79,he,1570,haber,I have,have
80,ese,1508,ese,that,that
81,voy,1478,ir,go,go
82,puede,1433,poder,can,can
83,sabes,1422,saber,You know,know
84,hola,1393,hola,hello,hello
85,sus,1384,su,their,his
86,porque,1362,porque,because,because
87,dios,1356,dios,God,God
88,quién,1351,quién,who,who
89,nunca,1342,nunca,never,never
90,dónde,1335,dónde,where,where
91,quieres,1331,querer,want,want
92,casa,1330,casa casar,home,house to marry
93,favor,1313,favor,favor,favor
94,esa,1306,ese,that,that
95,dos,1301,dos,two,two
96,tan,1291,tanto,so,so much
97,señor,1289,señor,Sir,Sir
98,tiempo,1288,tiempo,time,time
99,verdad,1269,verdad,TRUE,TRUE
100,estaba,1250,estar,was,be
101,mejor,1234,mejor,better,better
102,están,1232,estar,are,be
103,va,1219,ir,goes,go
104,hombre,1219,hombre,man,man
105,usted,1218,usted,you,you
106,mucho,1208,mucho,a lot,a lot
107,hace,1195,hacer,does,do
108,entonces,1194,entonces,so,so
109,siento,1186,sentir sentar,I feel,feel sit
110,tenemos,1177,tener,have,have
111,puedes,1134,poder,can,can
112,ahí,1126,ahí,there,there
113,ti,1103,ti,you,you
114,vida,1101,vida,life,life
115,ver,1097,ver,see,see
116,alguien,1046,alguien,someone,someone
117,sr,1040,señor,Mr,Sir
118,hasta,1032,hasta,until,until
119,sin,1029,sin,without,without
120,mí,1022,mí,my,my
121,solo,1013,solo,only,only
122,años,1003,año,years,year
123,sobre,996,sobre,about,about
124,decir,995,decir,say,say
125,uno,993,uno,one,one
126,siempre,986,siempre,always,always
127,oh,985,oh,oh,oh
128,ir,964,ir,go,go
129,cosas,962,cosa coser,things,thing to sew
130,también,962,también,also,also
131,antes,955,antes,before,before
132,has,942,haber,you have,have
133,ni,941,ni,neither,neither
134,mis,937,mi,my,my
135,día,917,día,day,day
136,estar,907,estar,be,be
137,estamos,906,estar,we are,be
138,noche,868,noche,evening,evening
139,nadie,865,nadie,nobody,nobody
140,otra,857,otro,other,other
141,quiere,855,querer,wants,want
142,parece,851,parecer,seems,seem
143,nosotros,847,nosotros,us,us
144,poco,844,poco,bit,bit
145,padre,833,padre,father,father
146,trabajo,828,trabajo trabajar,job,work work
147,gente,827,gente,people,people
148,mira,825,mirar,look,look
149,vas,817,ir,you go,go
150,sea,814,ser,sea,be
151,les,806,les,them,them
152,donde,806,donde,where,where
153,mismo,796,mismo,same,same
154,hecho,795,hacer hecho,made,to make done
155,ellos,792,ellos,they,they
156,dijo,770,decir,said,say
157,pasa,751,pasar,happens,pass
158,dinero,740,dinero,money,money
159,hijo,728,hijo,son,son
160,tal,724,tal,such,such
161,otro,710,otro,other,other
162,hablar,706,hablar,talk,talk
163,seguro,704,seguro,sure,sure
164,claro,699,claro,clear,clear
165,estas,685,este,are,this
166,lugar,684,lugar,place,place
167,mundo,683,mundo,world,world
168,amigo,678,amigo,friend,friend
169,espera,674,esperar espera,wait,wait wait
170,mierda,673,mierda,shit,shit
171,han,673,haber,they have,have
172,tus,670,tu,your,you
173,sabe,669,saber,knows,know
174,después,661,después,after,after
175,momento,656,momento,moment,moment
176,desde,653,desde,from,from
177,fuera,650,fuera ir ser,out,out to go be
178,cosa,648,cosa coser,stuff,thing to sew
179,tipo,647,tipo,guy,guy
180,mañana,646,mañana,tomorrow,tomorrow
181,podemos,623,poder,can,can
182,dije,617,decir,said,say
183,gran,608,grande,great,big
184,necesito,607,necesitar,need,need
185,estado,597,estar estado,state,to be in a state
186,podría,591,poder,could,can
187,acuerdo,591,acordar acuerdo,agreement,agree to an agreement
188,papá,587,papá,dad,dad
189,tener,583,tener,have,have
190,dice,583,decir,says,say
191,mío,581,mío,mine,mine
192,crees,580,creer,you believe,believe
193,buena,578,bueno buena,good,good good
194,gusta,573,gustar,like,like
195,nuestro,573,nuestro,our,our
196,nuevo,572,nuevo,new,new
197,será,570,ser,will be,be
198,haciendo,568,hacer,doing,do
199,días,566,día,days,day
200,nombre,565,nombre,name,name
201,buen,565,bueno,good,Well
202,había,564,haber,there was,have
203,ven,564,ver venir,come,see coming
204,tres,562,tres,three,three
205,menos,560,menos,less,less
206,debe,560,deber,has to,duty
207,tenía,555,tener,had,have
208,mal,553,mal,evil,evil
209,conmigo,551,conmigo,with me,with me
210,madre,549,madre,mother,mother
211,hoy,548,hoy,today,today
212,quien,547,quien,who,who
213,sido,534,ser,been,be
214,mamá,530,mamá,mother,mother
215,tienen,529,tener,have,have
216,luego,519,luego,then,then
217,todas,516,todo,all,all
